Comment ID,Channel ID,Comment create timestamp,Price,Parent comment ID,Post ID,Video ID,Comment text,Top-level comment ID
Ugwqz6xxEZyEYP1jGx14AaABAg,UCQHcGs-Dub4lqoMVppqrlvw,2021-01-05T19:54:51.305993+00:00,0,,,vC82VvqKCfs,"{""text"":""This is what happens when common people elect the same dirty goons as their leaders...even if they know that this so called 'leader' has no ideals or anything and would change the party just to be in power""}",
Ugx2986NYg1E_5vLAAh4AaABAg,UCQHcGs-Dub4lqoMVppqrlvw,2021-01-02T19:00:36.426116+00:00,0,,,Ux0EdUz6qaY,"{""text"":""Hinduism is being islamized...""}",
Ugz_ECnEaJNPh8-LxRJ4AaABAg,UCQHcGs-Dub4lqoMVppqrlvw,2020-12-27T07:35:05.170613+00:00,0,,,fG9TBapQLh4,"{""text"":""I feel like Jeannie about to dump Henry as soon as she gets a million subscribers on her channel""}",
Ugy3gC52tdyHLEZy_Sl4AaABAg.9HhF1x5zWrl9HiexAuFyTI,UCQHcGs-Dub4lqoMVppqrlvw,2020-12-26T07:23:57.695574+00:00,0,Ugy3gC52tdyHLEZy_Sl4AaABAg.9HhF1x5zWrl9HhoqrlMLyH,,yN9XgwVHvK4,"{""text"":""@The Indian Interest"",""mention"":{""externalChannelId"":""UC2bBsPXFWZWiBmkRiNlz8vg""}},{""text"":"" Aah! The 21st century Mongol Horde""}",Ugy3gC52tdyHLEZy_Sl4AaABAg
UgwW-AkTQE_csh8wqGF4AaABAg.9HgIP7S2NO09HhaAa6zqRl,UCQHcGs-Dub4lqoMVppqrlvw,2020-12-25T21:22:59.807238+00:00,0,UgwW-AkTQE_csh8wqGF4AaABAg,,BwT2SPLaIGs,"{""text"":""Dont know why, but Im getting scared of these commies in India""}",UgwW-AkTQE_csh8wqGF4AaABAg
UgxrBETLq8nObD7OIGB4AaABAg.9HbmZwXYpsw9HhFN4gYiRv,UCQHcGs-Dub4lqoMVppqrlvw,2020-12-25T18:12:27.882174+00:00,0,UgxrBETLq8nObD7OIGB4AaABAg,,yN9XgwVHvK4,"{""text"":""Lol 'a eunuch'.... science proves that 16 million people today  have his DNA""}",UgxrBETLq8nObD7OIGB4AaABAg
Ugy3gC52tdyHLEZy_Sl4AaABAg,UCQHcGs-Dub4lqoMVppqrlvw,2020-12-25T18:09:34.861745+00:00,0,,,yN9XgwVHvK4,"{""text"":""After watching this video please watch Chinggis Khaanii Magtaal by Batzorig Vaanchig... It's a traditional Mongolian song glorifying the Great Khan ❤️...and it will open you up to the ancient artform of throat singing""}",
UgyZUwvioFINvBbyuxR4AaABAg.9Hh0P_xULU89Hh9IbkJJWg,UCQHcGs-Dub4lqoMVppqrlvw,2020-12-25T17:19:25.487307+00:00,0,UgyZUwvioFINvBbyuxR4AaABAg.9Hh0P_xULU89Hh4h0QGJ27,,BgKDHAz7PWM,"{""text"":""@Utkarsh Patil"",""mention"":{""externalChannelId"":""UCJZGbRa74KtWCLKRrLSS8Eg""}},{""text"":"" it's not just about liberal and conservative propaganda...the thing is, we elect very few leaders...out 550 mp seats, hardly 50-60 would qualify as leaders who have a certain ideology, certain vision for development...but the rest are there just to make money using loopholes...the day india starts electing 550 leaders over goons...india would definitely hit above 10% growth... Right now I can see the bjp turning into the next Congress, the reason why I say this is because most of the options I had when I went to vote in pune for bjp were ex-congress/ncp Netas just rebranded under Modi's name...(Yes, it would have a hindu core but goons don't care about that...goons only polarize and get votes leaving out the core issues like education, healthcare, employment, infra, law and order, security which should be focused upon)""}",UgyZUwvioFINvBbyuxR4AaABAg
Ugw7na2GgK90wL5lBkx4AaABAg.9HXrAaC-O5v9H_Xere3mSS,UCQHcGs-Dub4lqoMVppqrlvw,2020-12-22T18:18:23.450996+00:00,0,Ugw7na2GgK90wL5lBkx4AaABAg.9HXrAaC-O5v9H_VqZJ_ROg,,VYdAQKoUm7o,"{""text"":""@DE-EVOLUTION"",""mention"":{""externalChannelId"":""UCPTBnL_DJ-eIcUi7GUA4Ylw""}},{""text"":"" thanks for the reply... would look into this 👍""}",Ugw7na2GgK90wL5lBkx4AaABAg
Ugw7na2GgK90wL5lBkx4AaABAg.9HXrAaC-O5v9H_Tud66JBP,UCQHcGs-Dub4lqoMVppqrlvw,2020-12-22T17:45:35.481517+00:00,0,Ugw7na2GgK90wL5lBkx4AaABAg.9HXrAaC-O5v9HZeTvM8D0n,,VYdAQKoUm7o,"{""text"":""@DE-EVOLUTION"",""mention"":{""externalChannelId"":""UCPTBnL_DJ-eIcUi7GUA4Ylw""}},{""text"":"" how legit is the content on these channels?""}",Ugw7na2GgK90wL5lBkx4AaABAg
