Comment ID,Likes,Text
UgyCaElj-dby2XtVkbl4AaABAg,719,"Its not just Bollywood, its music industry all over the world. I&#39;m not expecting anyone to produce &#39;Bohemian Rhapsody&#39; anymore. Tbh, &#39;me&#39; the consumer is at fault. I have induced myself with ADD."
UgxM3SkF-dHdcsbgpa14AaABAg.A-uCRwLtJn2A-uyLvaGc5v,244,@1carusGGnot all Muslims…only the radical ones. He is celebrated in UAE and other progressive Muslims.
UgwmlOHDXj3x5x2Mdep4AaABAg,231,"<a href=""https://www.youtube.com/watch?v=00riVFXY7Xs&amp;t=43"">0:43</a> is just a different vibe…it’s more like the spirit of India being represented in that shot…I think you guys should make this clip go viral…like any video regarding India, I won’t mind seeing this clip instead of a drone shot of dharavi or dhobighat"
UgzwHK9jXHa7e8SBO6J4AaABAg,204,"Hindus consider Buddha as an avatar of Vishnu, we don&#39;t differentiate between Hinduism and Buddhism...they are the same for us...both are part of Sanatan dharma"
Ugz__xbKNUAfzBqgNeB4AaABAg,200,"you were an inspiration for me in 2018. i came to the US in fall 2018, completed masters from Boulder, struggled during covid, (mech engg). finally got a job in 2021...got an h1b in 2022, got laid of in 2023, now i am back in India, with just 14k saved...(lifestyle inflation...had to buy a car, rent was 1k +) etc..."
Ugz__xbKNUAfzBqgNeB4AaABAg.A2XhuOKgzFBA2XsaS5QqsL,62,"@ParthVijayvergiya one thing I have learned over the past five years is that life is too short for regrets…u just have to suck it up and keep moving forward. Having a foreign degree/experience was helpful in getting a job in India with a decent salary…obviously I’m not spending as much as I was in the states, standard of living is a bit lower, hence I think I can actually save up to 10 lakh rupees by the end of this year which is including one week vacation with family within India"
Ugw_AlpxOLBdYYi4m9t4AaABAg,42,"Kolkata has a population of nearly 2 crore now…so per capita when compared to rest of the cities on this list, Kolkata is struggling"
Ugy_vYstghQpwxDta5Z4AaABAg,37,Maha Gov should be preemptive and start metro projects in Nashik and Sambhajinagar. These are the next big cities of 1 trillion dollar Maharashtra. Don&#39;t repeat the Mumbai/Pune Metro mistake. Nagpur got their metro at the best possible time.
UgwfA6a-WBqezckhGmx4AaABAg,36,"I have a gut feeling that sp bsp would join NDA  after elections, but would not talk about it to keep leverage"
Ugw7zMZXIgSlm4up4KB4AaABAg.99CEFUGnBAN99FLVknjpaU,34,"@hacenydeshacon Hong Kong was prosperous democratic country, kashmir was and is full of murderers...so think twice before you compare apples with oranges"
