Comment ID,Likes,Text
1,719,"Its not just Bollywood, its music industry all over the world. I&#39;m not expecting anyone to produce &#39;Bohemian Rhapsody&#39; anymore. Tbh, &#39;me&#39; the consumer is at fault. I have induced myself with ADD."
2,244,@1carusGGnot all Muslims…only the radical ones. He is celebrated in UAE and other progressive Muslims.
3,231,"<a href=""https://www.youtube.com/watch?v=00riVFXY7Xs&amp;t=43"">0:43</a> is just a different vibe…it’s more like the spirit of India being represented in that shot…I think you guys should make this clip go viral…like any video regarding India, I won’t mind seeing this clip instead of a drone shot of dharavi or dhobighat"
4,204,"Hindus consider Buddha as an avatar of Vishnu, we don&#39;t differentiate between Hinduism and Buddhism...they are the same for us...both are part of Sanatan dharma"
5,200,"you were an inspiration for me in 2018. i came to the US in fall 2018, completed masters from Boulder, struggled during covid, (mech engg). finally got a job in 2021...got an h1b in 2022, got laid of in 2023, now i am back in India, with just 14k saved...(lifestyle inflation...had to buy a car, rent was 1k +) etc..."
6,62,"@ParthVijayvergiya one thing I have learned over the past five years is that life is too short for regrets…u just have to suck it up and keep moving forward. Having a foreign degree/experience was helpful in getting a job in India with a decent salary…obviously I’m not spending as much as I was in the states, standard of living is a bit lower, hence I think I can actually save up to 10 lakh rupees by the end of this year which is including one week vacation with family within India"
7,42,"Kolkata has a population of nearly 2 crore now…so per capita when compared to rest of the cities on this list, Kolkata is struggling"
8,37,Maha Gov should be preemptive and start metro projects in Nashik and Sambhajinagar. These are the next big cities of 1 trillion dollar Maharashtra. Don&#39;t repeat the Mumbai/Pune Metro mistake. Nagpur got their metro at the best possible time.
9,36,"I have a gut feeling that sp bsp would join NDA  after elections, but would not talk about it to keep leverage"
10,34,"@hacenydeshacon Hong Kong was prosperous democratic country, kashmir was and is full of murderers...so think twice before you compare apples with oranges"
11,33,"@raoulsandhu1415 in India&#39;s 5000 year old history, no one must have thought about adding chicken tikka to garam masala + curd when most of the ingredients are in the kitchen"
12,32,Why Indian roads are slow?<br><br><br>Cause everyone drives like the White car
13,30,"In India, the tobacco is a $18 billion industry. Imagine the tax revenue and employment it generates. Along with that, many of the stakeholders in this industry are huge lobbyists in the central and state governments. So currently, banning it is out of question. Taxing it heavily could be a solution."
14,28,@user-Void-Star you are correct on that... that&#39;s because Sanatan Dharm means everything is one
15,28,"where are you Goa??? Please bring back legacy clubs like Dempo, Salgaonkar, Churchill....I heard recently that Salgaonkar has gone bankrupt and has stopped playing senior mens football."
16,27,"@nomad9699 Adha, pura how does it matter"
17,24,Swami is a title...if he did spend ten years in an ashram or banks of Ganga with other Swamis and earned the title then what is the issue if he is white?
18,24,Maharashtra ke log kabhi kush nahi rehte apne government se
19,24,@ceroleionlinethat dude is going viral for his psychopathic shorts
20,21,"@EmptyRainbows Buddha was just trying to educate the public wath their true Dharm is, he was trying to revive the Vedas which at that time were only known to the &#39;Brahmins&#39; and few educated royal families (which Siddhartha was a part of)...the Vedas/Upanishads were deliberately kept away from public to create a caste division... whatever Buddhism teaches is a reiteration of ancient vedic teachings"
21,21,"@Optic_UD-011  as a Chelsea fan, that whole year pains me"
22,20,Great start…quality has actually changed in the last 10 years…one more fan gained! Job well done KBFC🎉
